rank_by_high_bmi_internal_std_daly_rate,location_id,location_name,attr_number_30plus_high_bmi,attr_number_30plus_high_fpg,attr_number_30plus_smoking,internal_std_rate_30plus_high_bmi,internal_std_rate_30plus_high_fpg,internal_std_rate_30plus_smoking,paf_pct_30plus_high_bmi,paf_pct_30plus_high_fpg,paf_pct_30plus_smoking,sdi_mean,sdi_lower,sdi_upper,dominant_factor_by_internal_std_rate,high_bmi_vs_high_fpg_rate_ratio,high_bmi_vs_smoking_rate_ratio
1,29,Tonga,25.69585664019288,25.81228284034935,8.637642059004094,68.00137755232618,69.96998569449157,23.234339027186465,24.143419255348093,24.252811466008545,8.115791449504234,0.63599479,0.63599479,0.63599479,high_fpg,0.9718649629176588,2.926761870555382
2,369,Nauru,1.595230441676401,1.1568013094860476,0.6154704995870268,47.08881921155051,40.22720371086751,19.67244005865582,19.79348918974393,14.353496282287272,7.636707752003483,0.626371926,0.626371926,0.626371926,high_bmi,1.1705715254284332,2.393644055905081
3,320,Cook Islands,3.292607327952673,3.659238640512925,1.0314660176810482,38.88387258887584,42.87739054067109,12.084603276264504,28.280791580552066,31.42985331329985,8.85944558915804,0.777404869,0.777404869,0.777404869,high_fpg,0.9068619171680418,3.217637492928548
4,24,Marshall Islands,4.639536212821018,7.1839219383795605,1.4590239415511197,34.85300756486014,60.502591997533614,11.111570383338709,17.477267541208285,27.062042400973677,5.49618552497779,0.605458023,0.605458023,0.605458023,high_fpg,0.5760580896481414,3.136641029347268
5,416,Tuvalu,1.011213911095636,0.7231116949265506,0.379480335640931,23.48617245087863,17.89892222293504,9.063643503155218,12.871594463682891,9.204383352436563,4.830349873272636,0.611233842,0.611233842,0.611233842,high_bmi,1.3121556794511506,2.591250686625381
6,376,Northern Mariana Islands,4.812286077294886,5.767535945257172,1.6309459396059431,19.67856107486348,25.524005600224296,6.557081373986679,8.5698592664494,10.270996065310062,2.904436051621196,0.791104245,0.791104245,0.791104245,high_fpg,0.7709824775579328,3.00111588563358
7,298,American Samoa,4.61690776978626,5.3170956826138855,1.2949532000316,19.558895390626315,23.8216560679426,5.56807922022414,13.723763363767636,15.80507269567607,3.849249794567604,0.743030595,0.743030595,0.743030595,high_fpg,0.8210552337268949,3.512682671536951
8,374,Niue,0.1542367618539145,0.1776949412347029,0.0424863622478104,15.737637919125437,17.62985685053723,4.298724089331168,14.375805870958173,16.562251104966233,3.959987803791072,0.748490237,0.748490237,0.748490237,high_fpg,0.8926696372265704,3.661002100177597
9,413,Tokelau,0.1014894484028066,0.1247365018762101,0.0411249114537464,13.376741564372857,16.25358099586256,5.489307747816885,17.227464656762532,21.173567413153616,6.980804110492271,0.749948959,0.749948959,0.749948959,high_fpg,0.8230027319996731,2.436872221218209
10,380,Palau,1.3786654071614797,1.6738960039996271,0.5345762072599141,12.863163760087156,16.15566642261745,4.9257341265881385,8.120525156055344,9.859473182173916,3.1487259463632373,0.75589719,0.75589719,0.75589719,high_fpg,0.7962013713082805,2.6114206389367105
11,22,Fiji,42.29120072133991,61.12728808576916,18.245022576481908,10.906681655813882,16.603685523850164,4.79225768556857,12.788930435687329,18.48499502773996,5.517325603158691,0.686418864,0.686418864,0.686418864,high_fpg,0.656883174530565,2.275896325161796
12,351,Guam,9.438281684557596,10.429520933352489,4.032896025337378,10.417422510716476,11.304304771445686,4.418993708108112,7.707297176875577,8.516742764449523,3.29326133607258,0.811868521,0.811868521,0.811868521,high_fpg,0.9215447319706518,2.357419629632478
13,28,Solomon Islands,24.266470215253637,15.85966049617895,17.654637244261945,9.721757807421229,7.51807193966222,7.773272436562118,5.954505867468392,3.8916431043684514,4.332094454878879,0.45802266,0.45802266,0.45802266,high_bmi,1.2931184864211367,1.2506647472812449
14,27,Samoa,6.626657235243334,7.985047658684667,2.865173588906817,8.582733583124721,10.623390922639365,3.7681819064077926,8.757311686753285,10.552462380093727,3.786406519001004,0.604489559,0.604489559,0.604489559,high_fpg,0.8079090420022269,2.277685577898929
15,23,Kiribati,3.444324164091861,3.945806904142248,1.9198281849215189,7.817637758475995,10.068213434664624,4.6939951075695205,7.808914000560123,8.945867261418842,4.352602274837376,0.542688753,0.542688753,0.542688753,high_fpg,0.776467226207189,1.6654550291007546
16,25,Micronesia (Federated States of),2.638368933329827,3.065761093098685,1.2767153297447098,6.729757637179833,8.463698049575756,3.2944997354492687,3.9151770217475703,4.549400667297491,1.894566927006975,0.596840305,0.596840305,0.596840305,high_fpg,0.7951320566684397,2.042725201877152
17,13,Malaysia,939.283621076966,2497.4448489101524,677.1363876512812,6.428926008486413,17.928333534746326,4.732781653241435,6.873935429285702,18.27698710420062,4.955469999783246,0.770371353,0.770371353,0.770371353,high_fpg,0.3585902725441112,1.3583821269428953
18,30,Vanuatu,6.504850466942173,7.917773515949444,2.4032989480482074,6.13190721211085,8.141781917196116,2.391487852490242,5.682445742599962,6.916733695144853,2.0994511626262278,0.47654316,0.47654316,0.47654316,high_fpg,0.7531406852300667,2.564055345598236
19,26,Papua New Guinea,154.4736568377237,157.86102246671314,109.48684171789948,5.041460615552445,6.175141193209968,3.811213057442712,8.800141079528622,8.993114406070433,6.23730720948558,0.43671418,0.43671418,0.43671418,high_fpg,0.8164122014077848,1.3227968469795328
20,18,Thailand,2290.803672334985,4254.862323867487,2586.059622053017,4.728281451587122,8.447792404302945,5.270728347095033,3.813247132905178,7.082598021530233,4.304727008431954,0.68718778,0.68718778,0.68718778,high_fpg,0.559706160532394,0.8970831240416933
21,8,Taiwan,746.4261627770107,1806.5602823700972,541.117577510001,4.087197146196293,9.473198635085096,3.0785879672856726,5.839460191861858,14.133128471610709,4.233284831858648,0.881537661,0.881537661,0.881537661,high_fpg,0.4314484794036601,1.3276207110625105
22,186,Seychelles,1.9620053786876317,4.574434630405323,1.852425758405157,3.395088964636447,8.19308742050184,3.2305131522696846,3.370736859581569,7.858905784839078,3.182478423005746,0.753016949,0.753016949,0.753016949,high_fpg,0.4143845647418336,1.0509441703560731
23,14,Maldives,4.712351655522991,7.2822013873808915,7.357171165781933,2.8869660010849065,5.695783691605136,5.348587882984606,5.547042498208422,8.572085347020016,8.660334394899209,0.660888616,0.660888616,0.660888616,high_fpg,0.5068601894661008,0.5397622819789827
24,7,Democratic People's Republic of Korea,360.8226135450767,715.1162131973621,396.92265002429394,2.334831281300418,4.822686601473359,2.5190794352704176,4.88545862398003,9.682515839536036,5.374245157647087,0.57705994,0.57705994,0.57705994,high_fpg,0.4841349799896002,0.9268589345019124
25,16,Philippines,734.1723771025329,1694.8472006333395,1192.2407297355926,1.7749081039394787,4.507412049111383,2.9777466097392,3.1959488660014914,7.377892655519299,5.189980619043522,0.669416191,0.669416191,0.669416191,high_fpg,0.3937754269191773,0.5960574677960697
26,6,China,15920.594080370063,47108.09023711277,27774.795872919945,1.6168627660947186,4.689048490264375,2.816195423968881,4.555576852254287,13.479680742737004,7.947581385218061,0.727553274,0.727553274,0.727553274,high_fpg,0.3448168150642344,0.5741301730460396
27,12,Lao People's Democratic Republic,40.686035119906,85.0511323165001,90.72163580091438,1.586270256458664,3.897804817552126,3.7433083571211534,2.0644798992976785,4.3156417813249766,4.603372950704594,0.515008269,0.515008269,0.515008269,high_fpg,0.4069650305001324,0.4237615780278941
28,11,Indonesia,2289.4750469749465,5095.181520888261,5701.170717996067,1.5590148439355118,4.021995557376055,4.219909469950126,1.4451380721931677,3.216126251430286,3.598632302865684,0.665731524,0.665731524,0.665731524,smoking,0.3876222192927063,0.3694427226548861
29,15,Myanmar,264.129417768428,894.4964716819533,506.7678187660632,1.0830869229773084,4.046255029570954,2.1720767777745964,1.3738817993558372,4.65276617960556,2.635977047101851,0.532025372,0.532025372,0.532025372,high_fpg,0.2676763859573512,0.4986411779085388
30,17,Sri Lanka,134.4759553936257,487.9760597024956,153.919044445162,1.0554790305412836,3.744528901725568,1.185104519995321,2.719017345661068,9.86656214276146,3.112144103746669,0.730697976,0.730697976,0.730697976,high_fpg,0.281872315114164,0.890621048804582
31,10,Cambodia,59.1971281119486,69.26417351671087,126.32759572479992,0.8937738020171764,1.1425930141661955,1.93197534840692,1.4619934822859044,1.7106196443491273,3.1199169195038623,0.499953382,0.499953382,0.499953382,smoking,0.7822328606388387,0.4626217424327747
32,183,Mauritius,7.114397571218982,18.237446972899992,4.198925343909625,0.8723935463809797,2.228955182230961,0.5152551559929522,1.5741659311408651,4.035305506662641,0.9290744799708948,0.736236312,0.736236312,0.736236312,high_fpg,0.3913912461478032,1.6931291928554957
33,20,Viet Nam,445.3886826848873,1278.047807298448,2487.147881990034,0.8671541985717081,2.625181652624989,4.864582440122352,1.455332125323382,4.176091813667564,8.12689310215588,0.64302812,0.64302812,0.64302812,smoking,0.3303215980138431,0.1782587116665038
34,19,Timor-Leste,1.716158794510437,4.211399381422094,7.401118112931706,0.4046547062987005,1.0672373419641408,1.847741651307072,0.8541760728543861,2.096121056134959,3.683725553053431,0.484532958,0.484532958,0.484532958,smoking,0.3791609329879472,0.21899961285846
